Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Zhang, C., Lu, R., Lin, X., Ho, P.-H., Shen, X.","55703870800;24605375900;17435253300;7402211578;7402721166;","An efficient identity-based batch verification scheme for vehicular sensor networks",2008,"Proceedings - IEEE INFOCOM",,, 4509653,"816","824",,272,"10.1109/INFOCOM.2007.58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51449098979&doi=10.1109%2fINFOCOM.2007.58&partnerID=40&md5=519db94bb69ff1b56df36616a86306af",Conference Paper,"Final",,Scopus,2-s2.0-51449098979
"Offner, P.J., Moore, E.E., Biffl, W.L., Johnson, J.L., Silliman, C.C.","7004564586;35351716300;7005596534;35350503600;7006077364;","Increased rate of infection associated with transfusion of old blood after severe injury",2002,"Archives of Surgery","137","6",,"711","717",,270,"10.1001/archsurg.137.6.711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036274340&doi=10.1001%2farchsurg.137.6.711&partnerID=40&md5=9e0aa94fb99eb8170bb98b84864df4ec",Article,"Final",Open Access,Scopus,2-s2.0-0036274340
"Winemiller, K.O., McIntyre, P.B., Castello, L., Fluet-Chouinard, E., Giarrizzo, T., Nam, S., Baird, I.G., Darwall, W., Lujan, N.K., Harrison, I., Stiassny, M.L.J., Silvano, R.A.M., Fitzgerald, D.B., Pelicice, F.M., Agostinho, A.A., Gomes, L.C., Albert, J.S., Baran, E., Petrere, M., Zarfl, C., Mulligan, M., Sullivan, J.P., Arantes, C.C., Sousa, L.M., Koning, A.A., Hoeinghaus, D.J., Sabaj, M., Lundberg, J.G., Armbruster, J., Thieme, M.L., Petry, P., Zuanon, J., Torrente Vilara, G., Snoeks, J., Ou, C., Rainboth, W., Pavanelli, C.S., Akama, A., Van Soesbergen, A., Sáenz, L.","7003495043;55546696300;6602848428;56140555200;17345581900;57203583612;7006421235;6602567264;16031607300;54894231600;6603582681;6602535117;56693858600;14042332200;8614711600;7103337731;7201985739;7201958542;6701732228;14070949000;7102563344;55451406800;36949465800;16234940000;56744456600;6506273107;6506832407;7202439027;7006629539;8875567900;55747903800;6506326749;24802706100;6602611037;57069604400;57148060100;6603187502;12785527500;56025473700;54894813100;","Balancing hydropower and biodiversity in the Amazon, Congo, and Mekong",2016,"Science","351","6269",,"128","129",,269,"10.1126/science.aac7082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955141437&doi=10.1126%2fscience.aac7082&partnerID=40&md5=2bdd9367b67e51ad6bd78c624c474e93",Review,"Final",,Scopus,2-s2.0-84955141437
"Courbariaux, M., Bengio, Y.","","Binarynet: Training deep neural networks with weights and activations constrained to +1 or -1",2016,"Binarynet: Training Deep Neural Networks with Weights and Activations Constrained To+ 1 or-1",,,,"","",,268,,,Article,"Final",,Scopus,2-s2.0-84988920420
"Courbariaux, M., Bengio, Y., David, J.-P.","57189090585;7003958245;57194735752;","Binaryconnect: Training deep neural networks with binary weights during propagations",2015,"Advances in Neural Information Processing Systems","2015-January",,,"3123","3131",,265,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965117606&partnerID=40&md5=a9b1d9278511b0f97b99573d9e2b92fc",Conference Paper,"Final",,Scopus,2-s2.0-84965117606
"Rendle, S., Freudenthaler, C., Schmidt-Thieme, L.","14042211300;36170270300;55890913900;","Factorizing personalized Markov chains for next-basket recommendation",2010,"Proceedings of the 19th International Conference on World Wide Web, WWW '10",,,,"811","820",,265,"10.1145/1772690.1772773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954599758&doi=10.1145%2f1772690.1772773&partnerID=40&md5=9fef81204deee1e611c93be3e71f6890",Conference Paper,"Final",,Scopus,2-s2.0-77954599758
"Ghosh-Dastidar, S., Adeli, H.","6506072052;35612773100;","Spiking neural networks",2009,"International Journal of Neural Systems","19","4",,"295","308",,264,"10.1142/S0129065709002002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70149109442&doi=10.1142%2fS0129065709002002&partnerID=40&md5=b8d58cc4cc51403c545126a0c8e9e0a1",Article,"Final",,Scopus,2-s2.0-70149109442
"Karp, Richard M., Vazirani, Umesh V., Vazirani, Vijay V.","7102203243;7003318617;7003270539;","Optimal algorithm for on-line bipartite matching",1990,,,,,"352","358",,264,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025112462&partnerID=40&md5=16815c68b6a02cae1f9c78ba4993e52e",Conference Paper,"Final",,Scopus,2-s2.0-0025112462
"Veach, Eric, Guibas, Leonidas J.","6506428800;35451872900;","Optimally combining sampling techniques for Monte Carlo rendering",1995,"Proceedings of the ACM SIGGRAPH Conference on Computer Graphics",,,,"419","428",,263,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029191761&partnerID=40&md5=7eafccaedfcc4364bc2c79fff338c6eb",Conference Paper,"Final",,Scopus,2-s2.0-0029191761
"Wetzels, R., Matzke, D., Lee, M.D., Rouder, J.N., Iverson, G.J., Wagenmakers, E.-J.","25937076200;35322757400;26643345500;7004186708;7006593814;6602132134;","Statistical evidence in experimental psychology: An empirical comparison using 855 t tests",2011,"Perspectives on Psychological Science","6","3",,"291","298",,262,"10.1177/1745691611406923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051813363&doi=10.1177%2f1745691611406923&partnerID=40&md5=c36392261f7f67f8fec4b0ad013280ce",Article,"Final",,Scopus,2-s2.0-80051813363
"Chapelle, O., Zhang, Y.","56122751300;57196197253;","A Dynamic Bayesian Network click model for web search ranking",2009,"WWW'09 - Proceedings of the 18th International World Wide Web Conference",,,,"1","10",,262,"10.1145/1526709.1526711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865624822&doi=10.1145%2f1526709.1526711&partnerID=40&md5=1ad23f2c4cb79ed18d90abd9d5975460",Conference Paper,"Final",,Scopus,2-s2.0-84865624822
"Sommer, M.A., Wurtz, R.H.","7103108797;7006742740;","Brain circuits for the internal monitoring of movements",2008,"Annual Review of Neuroscience","31",,,"317","338",,262,"10.1146/annurev.neuro.31.060407.125627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47749085607&doi=10.1146%2fannurev.neuro.31.060407.125627&partnerID=40&md5=5d72d5344fdb0b4a273a6a98021873f5",Review,"Final",,Scopus,2-s2.0-47749085607
"Brochu, E., Cora, V.M., De Freitas, N.","","A tutorial on Bayesian optimization of expensive cost functions, with application to active user modeling and hierarchical reinforcement learning",2010,"A Tutorial on Bayesian Optimization of Expensive Cost Functions, with Application to Active User Modeling and Hierarchical Reinforcement Learning",,,,"","",,259,,,Article,"Final",,Scopus,2-s2.0-77958068642
"Cosley, D., Lam, S.K., Albert, I., Konstan, J.A., Riedl, J.","6505959682;7402279367;7005522163;7003985614;7005582593;","Is seeing believing? How recommender interfaces affect users' opinions",2003,"Conference on Human Factors in Computing Systems - Proceedings",,,,"585","592",,256,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037699443&partnerID=40&md5=854811034dc28bf3ca71db35f17e674d",Conference Paper,"Final",,Scopus,2-s2.0-0037699443
"Barnes, J.","",[No title available],2003,"High Integrity Software: The SPARK Approach to Safety and Security",,,,"","",,253,,,Article,"Final",,Scopus,2-s2.0-0141571910
"Usoh, M., Catena, E., Arman, S., Slater, M.","6508055406;37042081800;37042223400;7202932472;","Using presence questionnaires in reality",2000,"Presence: Teleoperators and Virtual Environments","9","5",,"497","503",,253,"10.1162/105474600566989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038662114&doi=10.1162%2f105474600566989&partnerID=40&md5=10760d235a268115bef38b46d80a29c2",Article,"Final",,Scopus,2-s2.0-0038662114
"Brown, J.S., VanLehn, K.","55724452400;6603878078;","Repair Theory: A Generative Theory of Bugs in Procedural Skills",1980,"Cognitive Science","4","4",,"379","426",,253,"10.1207/s15516709cog0404_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005432084&doi=10.1207%2fs15516709cog0404_3&partnerID=40&md5=fe433d6f71bdd43524afef23cec80746",Article,"Final",Open Access,Scopus,2-s2.0-85005432084
"Kurtz, T.G.","7103033014;","Strong approximation theorems for density dependent Markov chains",1978,"Stochastic Processes and their Applications","6","3",,"223","240",,253,"10.1016/0304-4149(78)90020-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000660738&doi=10.1016%2f0304-4149%2878%2990020-0&partnerID=40&md5=45d9b77ff46bcffdd2277019d2690875",Article,"Final",Open Access,Scopus,2-s2.0-0000660738
"Feldmann, A., Whitt, W.","7003365633;7006265076;","Fitting mixtures of exponentials to long-tail distributions to analyze network performance models",1998,"Performance Evaluation","31","3-4",,"245","279",,252,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031701596&partnerID=40&md5=35e344d83097e40af8a78a197a8d8109",Article,"Final",,Scopus,2-s2.0-0031701596
"Grancini, G., Roldán-Carmona, C., Zimmermann, I., Mosconi, E., Lee, X., Martineau, D., Narbey, S., Oswald, F., De Angelis, F., Graetzel, M., Nazeeruddin, M.K.","6508101563;36537958800;56979011600;24335567100;57194444915;7005957581;56527160100;36500960100;35233112400;57200116211;35463772200;","One-Year stable perovskite solar cells by 2D/3D interface engineering",2017,"Nature Communications","8",, 15684,"","",,249,"10.1038/ncomms15684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020209851&doi=10.1038%2fncomms15684&partnerID=40&md5=d7a62be3b0683254e61df6d6f1e4f2e6",Article,"Final",Open Access,Scopus,2-s2.0-85020209851
"De Moura, L., Bjørner, N.","23396587300;23396128200;","Satisfiability modulo theories: Introduction and applications",2011,"Communications of the ACM","54","9",,"69","77",,249,"10.1145/1995376.1995394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052312354&doi=10.1145%2f1995376.1995394&partnerID=40&md5=78889ee8fa2c53ac9261c7ab4916c06e",Article,"Final",,Scopus,2-s2.0-80052312354
"Canis, A., Choi, J., Aldham, M., Zhang, V., Kammoona, A., Anderson, J.H., Brown, S., Czajkowski, T.","37048568000;37074238700;37048599200;37076439000;37048904200;7407514035;55574192218;6506703415;","LegUp: High-level synthesis for FPGA-based processor/accelerator systems",2011,"ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA",,,,"33","36",,249,"10.1145/1950413.1950423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952981487&doi=10.1145%2f1950413.1950423&partnerID=40&md5=840ad237d3d8391eca8afe631f184bec",Conference Paper,"Final",,Scopus,2-s2.0-79952981487
"Ashford, J.R., Sowden, R.R.","7004993798;6602777780;","Multi-variate probit analysis.",1970,"Biometrics","26","3",,"535","546",,249,"10.2307/2529107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014841634&doi=10.2307%2f2529107&partnerID=40&md5=1edb144687b88fbbc6b12b227724c173",Article,"Final",,Scopus,2-s2.0-0014841634
"Knijnenburg, B.P., Willemsen, M.C., Gantner, Z., Soncu, H., Newell, C.","35225065100;7004296745;26648717300;55062052900;7006641193;","Explaining the user experience of recommender systems",2012,"User Modeling and User-Adapted Interaction","22","4-5",,"441","504",,248,"10.1007/s11257-011-9118-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866024894&doi=10.1007%2fs11257-011-9118-4&partnerID=40&md5=630981b0fc045565b7f6c4b9bc0f379d",Article,"Final",Open Access,Scopus,2-s2.0-84866024894
"Gomes, C.P., Selman, B., Crato, N., Kautz, H.","7101707114;7005516690;6602199034;7005697997;","Heavy-tailed phenomena in satisfiability and constraint satisfaction problems",2000,"Journal of Automated Reasoning","24","1-2",,"67","100",,248,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034140167&partnerID=40&md5=8cfcc2be8aad10ce15b4bb60209380b2",Article,"Final",,Scopus,2-s2.0-0034140167
"Shapiro, A.","57203400217;","Monte Carlo Sampling Methods",2003,"Handbooks in Operations Research and Management Science","10","C",,"353","425",,247,"10.1016/S0927-0507(03)10006-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950512601&doi=10.1016%2fS0927-0507%2803%2910006-0&partnerID=40&md5=d63d829cc96a7821fa618e271178ade7",Review,"Final",,Scopus,2-s2.0-77950512601
"Bishop, R.","",[No title available],2005,"Intelligent Vehicle Technology and Trends",,,,"","",,244,,,Article,"Final",,Scopus,2-s2.0-33646896912
"Voss, R.F., Clarke, J.","7101727882;35428887400;","“1/f noise” in music: Music from 1/f noise",1978,"Journal of the Acoustical Society of America","63","1",,"258","263",,242,"10.1121/1.381721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017914174&doi=10.1121%2f1.381721&partnerID=40&md5=57d57d5c3ee29d78c6b8b47a45bfb7ed",Article,"Final",,Scopus,2-s2.0-0017914174
"Stefanov, E., Van Dijk, M., Shi, E., Fletcher, C., Ren, L., Yu, X., Devadas, S.","36675744600;7102854233;7005357410;36175594200;55813354100;55812983700;57156699600;","Path ORAM: An extremely simple oblivious RAM protocol",2013,"Proceedings of the ACM Conference on Computer and Communications Security",,,,"299","310",,241,"10.1145/2508859.2516660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889005645&doi=10.1145%2f2508859.2516660&partnerID=40&md5=38b569249303b8975e512a2f6820a34a",Conference Paper,"Final",,Scopus,2-s2.0-84889005645
"Ghosh-Dastidar, S., Adeli, H.","6506072052;35612773100;","A new supervised learning algorithm for multiple spiking neural networks with application in epilepsy and seizure detection",2009,"Neural Networks","22","10",,"1419","1431",,239,"10.1016/j.neunet.2009.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71049128082&doi=10.1016%2fj.neunet.2009.04.003&partnerID=40&md5=79138795d8c24691c8eb4fb792c08296",Article,"Final",,Scopus,2-s2.0-71049128082
"Destexhe, A., Bal, T., Mccormick, D.A., Sejnowski, T.J.","57204280775;6701842488;7202521898;35595178300;","Ionic mechanisms underlying synchronized oscillations and propagating waves in a model of ferret thalamic slices",1996,"Journal of Neurophysiology","76","3",,"2049","2070",,237,"10.1152/jn.1996.76.3.2049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029785642&doi=10.1152%2fjn.1996.76.3.2049&partnerID=40&md5=e962fa38516dd95bc845695759c19ad2",Article,"Final",,Scopus,2-s2.0-0029785642
"Atkinson, R.K., Renkl, A., Merrill, M.M.","7402372975;7003841687;7006201640;","Transitioning From Studying Examples to Solving Problems: Effects of Self-Explanation Prompts and Fading Worked-Out Steps",2003,"Journal of Educational Psychology","95","4",,"774","783",,235,"10.1037/0022-0663.95.4.774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344719480&doi=10.1037%2f0022-0663.95.4.774&partnerID=40&md5=56482b2370a5914e3217c668777956e3",Article,"Final",,Scopus,2-s2.0-0344719480
"Shashua, A., Hazan, T.","35581862600;12140938900;","Non-negative tensor factorization with applications to statistics and computer vision",2005,"ICML 2005 - Proceedings of the 22nd International Conference on Machine Learning",,,,"793","800",,230,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-31844432834&partnerID=40&md5=dfe9ca4e9d399a95b80b6730b8f57345",Conference Paper,"Final",,Scopus,2-s2.0-31844432834
"Adrion, W.R., Branstad, M.A., Cherniavsky, J.C.","55663077100;6603012339;6602997403;","Validation, Verification, and Testing of Computer Software",1982,"ACM Computing Surveys (CSUR)","14","2",,"159","192",,228,"10.1145/356876.356879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020141868&doi=10.1145%2f356876.356879&partnerID=40&md5=d4ee94658102fc23c453cab6b53c4ccd",Article,"Final",,Scopus,2-s2.0-0020141868
"Zmuidzinas, J.","7004482405;","Superconducting microresonators: Physics and applications",2012,"Annual Review of Condensed Matter Physics","3","1",,"169","214",,227,"10.1146/annurev-conmatphys-020911-125022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857259276&doi=10.1146%2fannurev-conmatphys-020911-125022&partnerID=40&md5=17f446185970aeed24e03a3023ba4908",Review,"Final",,Scopus,2-s2.0-84857259276
"Khot, S., Kindler, G., Mossel, E., O'Donnell, R.","6701814147;57202946712;7004554866;7101679520;","Optimal inapproximability results for MAX-CUT and other 2-variable CSPs?",2007,"SIAM Journal on Computing","37","1",,"319","357",,227,"10.1137/S0097539705447372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40049085242&doi=10.1137%2fS0097539705447372&partnerID=40&md5=1b4ffa3266ac714936bdc1b5fcd518b9",Conference Paper,"Final",,Scopus,2-s2.0-40049085242
"Lamb, J.W.","7201524785;","Miscellaneous data on materials for millimetre and submillimetre optics",1996,"International Journal of Infrared and Millimeter Waves","17","12",,"1997","2034",,225,"10.1007/BF02069487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030407961&doi=10.1007%2fBF02069487&partnerID=40&md5=faa64bb49ee25c6ed79dd392ac811993",Article,"Final",,Scopus,2-s2.0-0030407961
"Lin, C.-J.","57154890600;","On the convergence of multiplicative update algorithms for nonnegative matrix factorization",2007,"IEEE Transactions on Neural Networks","18","6",,"1589","1596",,224,"10.1109/TNN.2007.895831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36348966695&doi=10.1109%2fTNN.2007.895831&partnerID=40&md5=59abf820c6a987f7755625c331d3e0f1",Article,"Final",,Scopus,2-s2.0-36348966695
"Goldstone, R.L., Son, J.Y.","7005787552;36784960400;","The transfer of scientific principles using concrete and idealized simulations",2005,"Journal of the Learning Sciences","14","1",,"69","110",,224,"10.1207/s15327809jls1401_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-12844275984&doi=10.1207%2fs15327809jls1401_4&partnerID=40&md5=8fc16d20aae058d1a3244bd79f2a987a",Review,"Final",,Scopus,2-s2.0-12844275984
"Cooper, S., Dann, W., Pausch, R.","","Alice: A 3-D tool for introductory programming concepts",2000,"Journal of Computing Sciences in Colleges","15","5",,"107","116",,224,,,Article,"Final",,Scopus,2-s2.0-0012103168
"Stein, C.","","Approximate Computation of Expectations",1986,"Approximate Computation of Expectations",,,,"","",,222,,,Article,"Final",,Scopus,2-s2.0-0003722779
"Srinivas, N., Krause, A., Kakade, S., Seeger, M.","36471189900;26659842300;6603824936;23986256800;","Gaussian process optimization in the bandit setting: No regret and experimental design",2010,"ICML 2010 - Proceedings, 27th International Conference on Machine Learning",,,,"1015","1022",,221,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956501313&partnerID=40&md5=c20783e3d327af2201c8afd8092660ee",Conference Paper,"Final",,Scopus,2-s2.0-77956501313
