Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Jones, M.K.","55491024800;","The employment effect of the disability discrimination act: Evidence from the health survey for England",2009,"Labour","23","2",,"349","369",,6,"10.1111/j.1467-9914.2009.00449.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65949093294&doi=10.1111%2fj.1467-9914.2009.00449.x&partnerID=40&md5=408d6c5e7e9e0806b0b0bec0980f95dd",Article,"Final",,Scopus,2-s2.0-65949093294
"Culbert, S.A.","",[No title available],2008,"Beyond Bullsh*t: Straight-Talk At Work",,,,"76","77",,6,,,Article,"Final",,Scopus,2-s2.0-76349098738
"Ameri, M., Schur, L., Adya, M., Bentley, F.S., McKay, P., Kruse, D.","57193329854;56135566200;36536446900;57201028170;7005808214;7006527955;","The Disability Employment Puzzle: A Field Experiment on Employer Hiring Behavior",2018,"ILR Review","71","2",,"329","364",,5,"10.1177/0019793917717474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042914096&doi=10.1177%2f0019793917717474&partnerID=40&md5=ae4b3bc68bd4929e609f00c1009e734b",Article,"Final",,Scopus,2-s2.0-85042914096
"Kreps, T.A., Laurin, K., Merritt, A.C.","25025877600;24468418000;42262243400;","Hypocritical flip-flop, or courageous evolution? When leaders change their moral minds",2017,"Journal of Personality and Social Psychology","113","5",,"730","752",,5,"10.1037/pspi0000103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021751726&doi=10.1037%2fpspi0000103&partnerID=40&md5=0ffa22acff0297818e44d933e920476a",Article,"Final",,Scopus,2-s2.0-85021751726
"O’Connor, K., Monin, B.","57190575009;6603051080;","When principled deviance becomes moral threat: Testing alternative mechanisms for the rejection of moral rebels",2016,"Group Processes and Intergroup Relations","19","5",,"676","693",,5,"10.1177/1368430216638538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981206990&doi=10.1177%2f1368430216638538&partnerID=40&md5=da8c6c0eb099b08caa77790e08f4f3f5",Article,"Final",,Scopus,2-s2.0-84981206990
"Webber, D.A.","31767771200;","Firm-Level Monopsony and the Gender Pay Gap",2016,"Industrial Relations","55","2",,"323","345",,5,"10.1111/irel.12142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961250690&doi=10.1111%2firel.12142&partnerID=40&md5=b5b5ccd1766a887b27995b51b98ca887",Article,"Final",,Scopus,2-s2.0-84961250690
"Rothmund, T., Becker, J.C., Jost, J.T.","26026109100;27067529000;24492154100;","The psychology of social justice in political thought and action",2016,"Handbook of Social Justice Theory and Research",,,,"275","291",,5,"10.1007/978-1-4939-3216-0_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006745114&doi=10.1007%2f978-1-4939-3216-0_15&partnerID=40&md5=6dc9b4366a758833fa9e085a4ff5374a",Book Chapter,"Final",,Scopus,2-s2.0-85006745114
"Baldwin, M.L., Choe, C.","7202508403;55969978500;","Re-examining the models used to estimate disability-related wage discrimination",2014,"Applied Economics","46","12",,"1393","1408",,5,"10.1080/00036846.2013.872762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893748396&doi=10.1080%2f00036846.2013.872762&partnerID=40&md5=d94913ddd87048f522089e3a4c834591",Article,"Final",,Scopus,2-s2.0-84893748396
"Dewey, C.","",[No title available],2014,"The only Guide to Gamergate You Will Ever Need to Read",,,,"","",,5,,,Article,"Final",,Scopus,2-s2.0-85014605013
"Patler, C.","","Racialized “illegality”: the convergence of race and legal status among black, Latino, and asian american undocumented young adults",2014,"Scholars and Southern Californian Immigrants in Dialogue: New Conversations in Public Sociology",,,,"93","113",,5,,,Article,"Final",,Scopus,2-s2.0-85042008196
"Araújo, M.","57193642875;","Challenging narratives on diversity and immigration in Portugal: The (de)politicization of colonialism and racism",2013,"Migrant Marginality: A Transnational Perspective",,,,"27","46",,5,"10.4324/9780203549704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919522872&doi=10.4324%2f9780203549704&partnerID=40&md5=d7f412af5d808da489d16284585d564f",Book Chapter,"Final",,Scopus,2-s2.0-84919522872
"Armstrong, A.C.","","Slavery Revisited in Penal Plantation Labor",2012,"35 SEATTLE U. L. REV","35",,,"","",,5,,,Article,"Final",,Scopus,2-s2.0-84867891190
"Padilla, B., Ortiz, A.","","Fluxos migratórios em Portugal: do boom migratório à desaceleração no contexto de crise",2012,"Balanço e desafi os. REMHU","20","39",,"159","184",,5,,,Article,"Final",,Scopus,2-s2.0-84979618027
"Ehrenberg, R.G., Jakubson, G.H., Martin, M.L., Main, J.B., Eisenberg, T.","7004625566;16480300000;54385603800;54385815900;54385051000;","Diversifying the faculty across gender lines: Do trustees and administrators matter?",2012,"Economics of Education Review","31","1",,"9","18",,5,"10.1016/j.econedurev.2011.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855346051&doi=10.1016%2fj.econedurev.2011.10.003&partnerID=40&md5=f0226c0fd43b96eacf9981cf9a42420e",Article,"Final",,Scopus,2-s2.0-84855346051
"Atkinson, A.","","Race, educational loans &amp; bankruptcy",2010,"Michigan Journal of Race and Law","16","1",,"1","31",,5,,,Article,"Final",,Scopus,2-s2.0-84891865873
"Ehrenberg, R., Zuckerman, H., Groen, J., Brucker, S.","","Educating Scholars",2010,"Doctoral Education in the Humanities",,,,"","",,5,,,Article,"Final",,Scopus,2-s2.0-84925964085
"Hallock, K.F.","6701787660;","Pay: Why people earn what they earn and what you can do now to make more",2007,"Pay: Why People Earn what they Earn and what you can do Now to Make More",,,,"1","226",,5,"10.1017/CBO9781139057431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923574974&doi=10.1017%2fCBO9781139057431&partnerID=40&md5=deae14efa83f17464c0eeef162543e0d",Book,"Final",,Scopus,2-s2.0-84923574974
"London, K.A.","",[No title available],1991,"Cohabitation, marriage, marital dissolution, and remarriage: United States. 1988. Advance data from vital and health statistics",,,,"","",,5,,,Article,"Final",,Scopus,2-s2.0-84942609040
"Ayers, E.L.","",[No title available],1984,"Vengeance and Justice: Crime and Punishment in the 19th-century South",,,,"185","222",,5,,,Article,"Final",,Scopus,2-s2.0-0345926632
"Lundquist, J.H., Pager, D., Strader, E.","9243738900;8897996400;57202278089;","Does a criminal past predict worker performance? Evidence from one of America's largest employers",2018,"Social Forces","96","3",,"1039","1068",,4,"10.1093/sf/sox092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043703047&doi=10.1093%2fsf%2fsox092&partnerID=40&md5=9529758af40fda14b2516a3a6a65a1f8",Article,"Final",,Scopus,2-s2.0-85043703047
"Siegel, R.B.","7401836095;","Blind justice: Why the court refused to accept statistical evidence of discriminatory purpose in McCleskey v. Kemp—and some pathways for change",2018,"Northwestern University Law Review","112","6",,"1269","1292",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048250711&partnerID=40&md5=c9656902d04ecf4dd37f77fea86270a6",Article,"Final",,Scopus,2-s2.0-85048250711
"Cameron, C.D., Rapier, K.","","Compassion is a motivated choice",2017,"Moral psychology: Virtue and character",,,,"373","408",,4,,,Article,"Final",,Scopus,2-s2.0-85038099398
"Gonzales, R.G., Raphael, S.","26665354700;7004508664;","Illegality: A contemporary portrait of immigration",2017,"RSF","3","4",,"1","17",,4,"10.7758/rsf.2017.3.4.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046963236&doi=10.7758%2frsf.2017.3.4.01&partnerID=40&md5=b462b689ab864c4cada043eca28eb8a6",Review,"Final",Open Access,Scopus,2-s2.0-85046963236
"Petrescu-Prahova, M., Spiller, M.W.","14034596200;55923865200;","Women’s Wage Theft: Explaining Gender Differences in Violations of Wage and Hour Laws",2016,"Work and Occupations","43","4",,"371","400",,4,"10.1177/0730888416661019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990181490&doi=10.1177%2f0730888416661019&partnerID=40&md5=3e4fd27ff1be6b90cf023ebb05889c83",Article,"Final",,Scopus,2-s2.0-84990181490
"Michelmore, K., Sassler, S.","55939491700;6603538477;","Explaining the gender wage gap in STEM: Does field sex composition matter?",2016,"RSF","2","4",,"194","215",,4,"10.7758/rsf.2016.2.4.07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012120213&doi=10.7758%2frsf.2016.2.4.07&partnerID=40&md5=ac5389989780b8c0f3ad9df47418ce3f",Article,"Final",Open Access,Scopus,2-s2.0-85012120213
"Thai, M., Hornsey, M.J., Barlow, F.K.","56001010500;6701768949;24758154400;","Friends With Moral Credentials: Minority Friendships Reduce Attributions of Racism for Majority Group Members Who Make Conceivably Racist Statements",2016,"Social Psychological and Personality Science","7","3",,"272","280",,4,"10.1177/1948550615624140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961241540&doi=10.1177%2f1948550615624140&partnerID=40&md5=d0c3c1220fec16402a6795c9350a13f6",Article,"Final",,Scopus,2-s2.0-84961241540
"Jones, M.K.","55491024800;","Disability and Perceptions of Work and Management",2016,"British Journal of Industrial Relations","54","1",,"83","113",,4,"10.1111/bjir.12043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958681251&doi=10.1111%2fbjir.12043&partnerID=40&md5=94ee8a5a66b46e2f77b404114c0fd75d",Article,"Final",,Scopus,2-s2.0-84958681251
"Blau, F.D., Kahn, L.M.","7004255822;7101873406;","Immigration and the distribution of incomes",2015,"Handbook of the Economics of International Migration","1",,,"793","843",,4,"10.1016/B978-0-444-53768-3.00015-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971498976&doi=10.1016%2fB978-0-444-53768-3.00015-1&partnerID=40&md5=91d479a99a1a8f2a9906d5ec71337ff7",Conference Paper,"Final",,Scopus,2-s2.0-84971498976
"Simon, J.","","A radical need for criminology",2014,"Social Justice","40","1-2",,"9","23",,4,,,Article,"Final",,Scopus,2-s2.0-85038967832
"Fonseca, M.L., McGarrigle, J.","","Immigration and Policy: New Challenges after the Economic Crisis in Portugal",2014,"Impacts of the Recent Economic Crisis (2008-2009) on International Migration",,,,"51","75",,4,,,Article,"Final",,Scopus,2-s2.0-85020204714
"London, C.","","Racial impact statements: A proactive approach to addressing racial disparities in prison populations",2011,"Law &amp; Ineqc","29",,,"","",,4,,,Article,"Final",,Scopus,2-s2.0-80052783069
"Zincone, G.","","Conclusion: Comparing the making of migration policies",2011,"Migration Policymaking in Europe: The Dynamics of Actors and Contexts in Past and Present",,,,"377","441",,4,,,Article,"Final",,Scopus,2-s2.0-84940444479
"Isabel Pereira Esteves, A., Fonseca, M.L.C.D.S., Malheiros, J.D.S.M.","57195553802;57203892717;6508142190;","Labour market integration of immigrants in Portugal in times of austerity: resilience, in situ responses and re-emigration",2018,"Journal of Ethnic and Migration Studies","44","14",,"2375","2391",,3,"10.1080/1369183X.2017.1346040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028773599&doi=10.1080%2f1369183X.2017.1346040&partnerID=40&md5=bd142d5bf4648d76747d6d9f5ab5ef08",Article,"Final",,Scopus,2-s2.0-85028773599
"Friedman, R., Hong, Y.-Y., Simons, T., Chi, S.-C., Oh, S.-H., Lachowicz, M.","7401990686;57192235767;7005249292;57195831239;55489480500;56675827600;","The Impact of Culture on Reactions to Promise Breaches: Differences Between East and West in Behavioral Integrity Perceptions",2018,"Group and Organization Management","43","2",,"273","315",,3,"10.1177/1059601116678101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042634215&doi=10.1177%2f1059601116678101&partnerID=40&md5=f078ba6e2e69106b2fbd3fb5ac25d7ad",Article,"Final",Open Access,Scopus,2-s2.0-85042634215
"Moore, C., Lee, S.Y., Kim, K., Cable, D.M.","55452502500;56560326500;57194697098;7006383733;","The advantage of being oneself: The role of applicant self-verification in organizational hiring decisions",2017,"Journal of Applied Psychology","102","11",,"1493","1513",,3,"10.1037/apl0000223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021740298&doi=10.1037%2fapl0000223&partnerID=40&md5=635791cda133728b7241ee87e73cd6b6",Article,"Final",,Scopus,2-s2.0-85021740298
"Martin, P.","",[No title available],2017,"Merchants of Labor: Recruiters and International Labor Migration",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-85050315005
"Krogstad, J.M., Passel, J.S., Cohn, D.","","5 facts About illegal immigration in the U.S",2017,"Pew Research Center blog",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-85050283073
"Tetlock, P.E., Mellers, B.A., Scoblic, J.P.","7004674985;7003686114;57193164594;","Sacred versus pseudo-sacred values: How people cope with taboo trade-offs",2017,"American Economic Review","107","5",,"96","99",,3,"10.1257/aer.p20171110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019636389&doi=10.1257%2faer.p20171110&partnerID=40&md5=9e0946f6710b3d5b888f678c56b450f5",Conference Paper,"Final",,Scopus,2-s2.0-85019636389
"Rengifo, A.F., Pater, M.","24072095200;57193349555;","Close Call: Race and Gender in Encounters with the Police by Black and Latino/a Youth in New York City",2017,"Sociological Inquiry","87","2",,"337","361",,3,"10.1111/soin.12166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014472444&doi=10.1111%2fsoin.12166&partnerID=40&md5=83f125f82b0780ab36f58ba6cf90c1e6",Conference Paper,"Final",,Scopus,2-s2.0-85014472444
"Addo, F.R.","36342302700;","Financial Integration and Relationship Transitions of Young Adult Cohabiters",2017,"Journal of Family and Economic Issues","38","1",,"84","99",,3,"10.1007/s10834-016-9490-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964058362&doi=10.1007%2fs10834-016-9490-7&partnerID=40&md5=b262fb9b34c112ceffcb3b8464db535c",Article,"Final",,Scopus,2-s2.0-84964058362
"Shauman, K.A.","6506880583;","Gender differences in the early employment outcomes of STEM doctorates",2017,"Social Sciences","6","1", 24,"","",,3,"10.3390/socsci6010024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018941839&doi=10.3390%2fsocsci6010024&partnerID=40&md5=f5a2cf391e6d00f9a7e7f3dbd155cf50",Article,"Final",Open Access,Scopus,2-s2.0-85018941839
"Patnaik, A.","",[No title available],2016,"Reserving Time for Daddy: The Short and Longrun Consequences of Fathers' Quotas",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-85019373629
"Dubow, W.M., James-Hawkins, L.","55139128600;11240857500;","What influences female interest and persistence in computing?: Preliminary findings from a multiyear study",2016,"Computing in Science and Engineering","18","2", 7412630,"58","67",,3,"10.1109/MCSE.2016.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963800255&doi=10.1109%2fMCSE.2016.20&partnerID=40&md5=4077d9ed2472f1ff943541a75d105277",Article,"Final",,Scopus,2-s2.0-84963800255
"Focella, E.S., Stone, J., Fernandez, N.C., Cooper, J., Hogg, M.A.","36859459800;7403061194;55172876800;7406075173;7006277794;","Vicarious hypocrisy: Bolstering attitudes and taking action after exposure to a hypocritical ingroup member",2016,"Journal of Experimental Social Psychology","62",,,"89","102",,3,"10.1016/j.jesp.2015.09.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947739973&doi=10.1016%2fj.jesp.2015.09.014&partnerID=40&md5=471f19dcf267987efebeefc3106121e5",Article,"Final",,Scopus,2-s2.0-84947739973
"Lönnqvist, J.-E., Rilke, R.M., Walkowitz, G.","7102809411;55534500100;35095616200;","On why hypocrisy thrives: Reasonable doubt created by moral posturing can deter punishment",2015,"Journal of Experimental Social Psychology","59",,,"139","145",,3,"10.1016/j.jesp.2015.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928337005&doi=10.1016%2fj.jesp.2015.04.005&partnerID=40&md5=bad429d62e3a0f196b1d452eb07a9881",Article,"Final",,Scopus,2-s2.0-84928337005
"Kamas, L., Preston, A.","",[No title available],2015,"Competing with Confidence: The Ticket to Labor Market Success for College-Educated Women",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-85019448787
[No author name available],[No author id available],[No title available],2015,"Who Pays? The True Cost of Incarceration on Families",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-85007532196
"Higgins, A.","","Populists' rise in Europe vote shakes leaders",2014,"New York Times",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-84930912004
"Schur, L., Kruse, D., Blanck, P.","",[No title available],2013,"People with Disabilities: Sidelined or Mainstreamed",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-84922214394
"Oguzoglu, U.","23089160200;","Is there a better measure of self-assessed disability?",2012,"Applied Economics Letters","19","14",,"1335","1338",,3,"10.1080/13504851.2011.627208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858429626&doi=10.1080%2f13504851.2011.627208&partnerID=40&md5=802a9271b3a700623d8f4b09ef9b57b4",Article,"Final",,Scopus,2-s2.0-84858429626
"Kerwin, D., Brick, K., Kilberg, R.","",[No title available],2012,"Unauthorized Immigrants in The United States and Europe: The Use of Legalization/Regularization as a Policy Tool",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-84904323784
"Addo, F.R.","36342302700;","Ethnoracial Differences in Early Union Experiences Among Young Adult Women",2012,"Review of Black Political Economy","39","4",,"427","444",,3,"10.1007/s12114-012-9138-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871500676&doi=10.1007%2fs12114-012-9138-2&partnerID=40&md5=c080f430e7e208faf330af8519006ba7",Article,"Final",,Scopus,2-s2.0-84871500676
"Segall, J.","","Mass incarceration, ex-felon discrimination &amp; black labor market disadvantage",2011,"U. PA. J. L. &amp; Soc. Change","14",,,"159","",,3,,,Article,"Final",,Scopus,2-s2.0-84994582225
"Peixoto, J.C., Marçalo, E., Nancy, C.T.","",[No title available],2011,"Imigrantes e Segurança Social em Portugal",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-84871092783
"McGrattan, E.R., Rogerson, R.","","Changes in the distribution of family hours worked since 1950",2008,"Frontiers of Family Economics","1",,,"115","138",,3,,,Article,"Final",,Scopus,2-s2.0-84874427786
"Liptak, A.","","Inmate count in U.S. dwarfs other nations",2008,"N.Y. TIMES",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-79952347501
[No author name available],[No author id available],[No title available],1994,"Reducing Unemployment: Current Issues and Policy Options",,,,"","",,3,,,Article,"Final",,Scopus,2-s2.0-5944239167
"Needleman, R.","","Space and Opportunities",1993,"Labor Research Review","20",,,"5","20",,3,,,Article,"Final",,Scopus,2-s2.0-33847619639
"Witte, E.","","The university and labor education",1947,"Industrial and Labor Relations Review","1",,,"3","17",,3,,,Article,"Final",,Scopus,2-s2.0-20244369637
"Button, P.","56124919900;","Expanding Employment Discrimination Protections for Individuals with Disabilities: Evidence from California",2018,"ILR Review","71","2",,"365","393",,2,"10.1177/0019793917716633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046581972&doi=10.1177%2f0019793917716633&partnerID=40&md5=535e9aa0640e42acd5908a01bfe08c06",Article,"Final",,Scopus,2-s2.0-85046581972
"Blau, F.D., Winkler, A.E.","",[No title available],2018,"The Economics of Women, Men, and Work",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85029386874
"Menjívar, C.","",[No title available],2017,"Temporary protected status in the United States: The experiences of Honduran and Salvadoran immigrants",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85050288926
"Batson, C.D.","7003693080;","Moral motivation: A closer look",2016,"Cheating, Corruption, and Concealment: The Roots of Dishonesty",,,,"15","32",,2,"10.1017/CBO9781316225608.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015642080&doi=10.1017%2fCBO9781316225608.003&partnerID=40&md5=46f77167c68a82d7767857421680eab3",Book Chapter,"Final",,Scopus,2-s2.0-85015642080
"Doleac, J.L., Hansen, B.","","Does “Ban the Box” Help or Hurt Low-Skilled Workers? Statistical Discrimination and Employment Outcomes When Criminal Histories Are Hidden",2016,"National Bureau of Economic Research",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85041726131
"Cortes, P., Pan, J.","",[No title available],2016,"When Time Binds: Returns to Working Long Hours and the Gender Wage Gap among the Highly Skilled",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85013435992
"Timm, J.","","Can Millennials Save Unions?.",2015,"The Atlantic.",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85034792418
"Huddleston, T., Vink, M.P.","","Full Membership or Equal Rights? The Link Between Naturalisation and Integration Policies for Immigrants in 29 European States",2015,"Comparative Migration Studies","3","8",,"1","19",,2,,,Article,"Final",,Scopus,2-s2.0-85016714532
"Orrenius, P.M., Zavodny, M.","8680694700;6603953606;","The impact of temporary protected status on immigrants' labor market outcomes",2015,"American Economic Review","105","5",,"576","580",,2,"10.1257/aer.p20151109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930739539&doi=10.1257%2faer.p20151109&partnerID=40&md5=15e0fd6b2683da96d36c7d390c9552b5",Conference Paper,"Final",,Scopus,2-s2.0-84930739539
[No author name available],[No author id available],"Highlights of Women's Earnings in 2013",2014,"Highlights of Women's Earnings in 2013",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-84966913449
"Porter, N.D.","","Racial Impact Statements",2014,"SENTENCING PROJECT",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85048291978
"Cattan, S.","",[No title available],2014,"Psychological Traits and the Gender Wage Gap",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-84958984762
"Erickson, J.","57197439306;","Racial impact statements: Considering the consequences of racial disproportionalities in the criminal justice system",2014,"Washington Law Review","89","4",,"1425","1465",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922059898&partnerID=40&md5=997c055d4bd1f26b34028f634ee0b0ee",Article,"Final",,Scopus,2-s2.0-84922059898
"Kosteas, V.D.","23970533400;","Gender role attitudes, labor supply, and human capital formation",2013,"Industrial Relations","52","4",,"915","940",,2,"10.1111/irel.12040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883812410&doi=10.1111%2firel.12040&partnerID=40&md5=2ab3dd65a995570ac24a7406a79e275f",Article,"Final",,Scopus,2-s2.0-84883812410
"Cook, M.L.","","Is incorporation of unauthorized immigrants possible? Inclusion and contingency for nonstatus migrants and legal immigrants",2013,"Outsiders No More? Models of Immigrant Political Incorporation",,,,"43","64",,2,,,Article,"Final",,Scopus,2-s2.0-85050288010
"Blau, F.D., Brummund, P., Liu, A.Y.-H.","7004255822;55631711900;55245666100;","Erratum to Trends in Occupational Segregation by Gender 1970-2009: Adjusting for the Impact of Changes in the Occupational Coding System (Demography, 10.1007/s13524-012-0151-7)",2013,"Demography","50","2",,"493","494",,2,"10.1007/s13524-013-0198-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875391237&doi=10.1007%2fs13524-013-0198-0&partnerID=40&md5=543e6834a7fb7e2a2ebb29d09b8c2251",Erratum,"Final",Open Access,Scopus,2-s2.0-84875391237
"Healy, C.","",[No title available],2011,"A Cidadania Portuguesa: A Nova Lei de Nacionalidade de 2006",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85026554879
"António, J.H.C., Policarpo, V.","",[No title available],2011,"Os Imigrantes e A Imigração Aos Olhos Dos Portugueses: Manifestações de Preconceito e Perspectivas Sobre A Inserção de Imigrantes",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-84892183033
"Liptak, A.","","A Mediocre Criminal, but an Unmatched Jailhouse Lawyer",2010,"N.Y. TIMES",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-78649607307
"Manning, A.","","Modern Models of Monopsony in Labor Markets: Tests and Papers from a Conference Held in Sundance, Utah, November 2008, Organized by Orley Ashenfelter, Henry Farber, and Michael Ransom",2010,"Journal of Labor Economics","28",,,"203","472",,2,,,Article,"Final",,Scopus,2-s2.0-85040563283
"Bennett, J.A.","","Disability and labor market outcomes in the United States: exploring the linkage between disability, education, and labor market earnings",2009,"Masters Abstracts International","47","5",,"2586","",,2,,,Article,"Final",,Scopus,2-s2.0-84923118762
"Visher, C., Debus, S., Yahner, J.","","Employment After Prison: A Longitudinal Study of Releasees in Three States",2008,"URBAN INST. JUST. POL’Y CTR",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85048296932
"Lott, J.A.","","In defense of hypocrisy",2006,"In defense of hypocrisy: Picking sides in the war on virtue",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85054633026
"Lipp, M.","","A new perspective on the ""war on drugs"": Comparing the consequences of sentencing policies in the United States and England",2004,"LOY. L.A. L. REV","37",,,"979","",,2,,,Article,"Final",,Scopus,2-s2.0-84946723310
"Freeman, R.","","Trade Wars: The Exaggerated Impact of Trade in Economic Debate",2003,"National Bureau of Economic Research",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85040550269
"Fointiat, V., Grosbras, J.-M., Michel, S., Somat, A.","","Encouraging young adults to drive carefully. The use of the hypocrisy paradigm",2001,"Promoting Public Health","2",,,"10","12",,2,,,Article,"Final",,Scopus,2-s2.0-85039485978
[No author name available],[No author id available],[No title available],1999,"Highlights of Women's Earnings in 1998",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-0040474938
"Pencavel, J.","","Labor Supply of Men: A Survey",1999,"In Handbook of Labor Economics",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85040638626
"Duitsman","","Comment, The Private Prison Experiment: A Private Sector Solution to Prison Overcrowding",1998,"N.C. L. Rev","76",,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-79958282103
"Bronson, G.D.","","Barriers to entry of private-sector industry into a prison environment",1992,"Privatizing the United States Justice System","325",,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-79958268025
"Borjas, G.J., Freeman, R.B.","",[No title available],1992,"Immigrants and the Work Force",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85040545530
"Paul, W.K.","",[No title available],1991,"Prisons and Theamerican Conscience:A History of U.S. Federal Corrections",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-84922861121
"Borjas, G.J.","","Earnings Determination: A Survey of the Neoclassical Approach",1988,"In Three Worlds of Labor Economics",,,,"","",,2,,,Article,"Final",,Scopus,2-s2.0-85040564290
"Freire, P.","","The banking model of education",1970,"Critical Issues in Education: An Anthology of Readings",,,,"105","117",,2,,,Article,"Final",,Scopus,2-s2.0-85047409940
"Lampman, R.J.","","On Choice in Labor Markets: Comment",1956,"Industrial and Labor Relations Review","9",,,"636","641",,2,,,Article,"Final",,Scopus,2-s2.0-85012676253
"Ioannou, I., Kassinis, G.","",[No title available],2018,,,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056271879
"Reardon, R.","",[No title available],2018,"Interview with Sally Alvarez",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85055240490
[No author name available],[No author id available],[No title available],2018,"Consumer credit—G.19. Board of Governors Federal Reserve System",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85053875699
[No author name available],[No author id available],[No title available],2018,"Immigration and state immigration laws: Information and summaries",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85050277255
"Ramey, C.","","State to Assess Racial Impact in Crime-Law Changes",2018,"WALL ST. J","17",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048254643
"Race, I.","",[No title available],2018,"FED. BUREAU OF PRISONS",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048301258
"Levin, B.","","Criminal Employment Law",2018,"CARDOZO L. REV","39",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048276091
